iter	Passed	Remaining
0	392	38873
1	638	31277
2	890	28803
3	1248	29958
4	1509	28673
5	1757	27536
6	2086	27726
7	2337	26885
8	2596	26257
9	2844	25598
10	3209	25970
11	3461	25381
12	3716	24874
13	4013	24657
14	4264	24167
15	4509	23675
16	4750	23192
17	5106	23263
18	5348	22803
19	5593	22372
20	5841	21975
21	6198	21975
22	6473	21672
23	6721	21285
24	7067	21203
25	7312	20812
26	7568	20461
27	7812	20088
28	8158	19974
29	8411	19627
30	8665	19287
31	8910	18934
32	9262	18804
33	9513	18467
34	9771	18146
35	10094	17945
36	10336	17600
37	10578	17259
38	10836	16949
39	11208	16813
40	11464	16497
41	11710	16171
42	12008	15918
43	12273	15621
44	12521	15303
45	12766	14986
46	13110	14784
47	13356	14469
48	13598	14153
49	13832	13832
50	14186	13629
51	14439	13328
52	14687	13024
53	14945	12731
54	15270	12493
55	15525	12198
56	15774	11900
57	16101	11659
58	16360	11369
59	16622	11081
60	16867	10784
61	17226	10558
62	17498	10276
63	17741	9979
64	18061	9725
65	18301	9428
66	18541	9132
67	18788	8841
68	19118	8589
69	19371	8302
70	19612	8010
71	19855	7721
72	20201	7471
73	20442	7182
74	20684	6894
75	21013	6635
76	21262	6351
77	21501	6064
78	21741	5779
79	22075	5518
80	22340	5240
81	22620	4965
82	22890	4688
83	23249	4428
84	23519	4150
85	23789	3872
86	24130	3605
87	24396	3326
88	24674	3049
89	25013	2779
90	25283	2500
91	25551	2221
92	25839	1944
93	26233	1674
94	26511	1395
95	26794	1116
96	27177	840
97	27475	560
98	27757	280
99	28103	0
